respondent_id,aware,brand_correct,brand_decoy_hit,brand_understanding,awareness_tier,products_recognized_count,products_tried_count,tagline_known,tagline_rating,tagline_alignment,ebisen_familiarity,ebisen_belief,belief_reason,belief_reason_typed,trial_intent,age,gender,score_ingredient,score_taste,score_variety,score_texture,score_health,gender_LGBTQ+,gender_ชาย,gender_หญิง,topmind_subbrand,topmind_parent_brand,topmind_shrimp_cracker,topmind_shrimp,topmind_potato,topmind_snack_generic,topmind_japan,topmind_natural_health,topmind_positive_attr,topmind_visual_packaging,occ_work_study,occ_leisure,occ_late_night,occ_between_meals,occ_other,recog_คาลโวร่า,tried_คาลโวร่า,recog_เอบินาริ,tried_เอบินาริ,recog_เอบินาริ X,tried_เอบินาริ X,recog_ฮานาโร,tried_ฮานาโร,recog_แบ็กซ์,tried_แบ็กซ์,recog_พัฟโมริ,tried_พัฟโมริ,recog_Jomona,tried_Jomona,recog_บิบิป๊อป,tried_บิบิป๊อป,recog_สแน็คแบ๊ค,tried_สแน็คแบ๊ค,recog_Veggie Snap,tried_Veggie Snap,recog_ฟรูทร่า,tried_ฟรูทร่า,strength_ใช้วัตถุดิบจากธรรมชาติ (Use natural ingredients),strength_ทำจากเนื้อสัตว์แท้ (From real meat),strength_มีรสชาติอร่อย (Tasty),strength_มีคุณภาพดี (Good quality),strength_เป็นแบรนด์ญี่ปุ่น (Japan brand),strength_เพื่อสุขภาพที่ดี (For healthy lifestyles),trust_การรับรองมาตรฐานการผลิตจากญี่ปุ่น,trust_แหล่งที่มาของวัตถุดิบ,trust_เป็นผลิตภัณฑ์นำเข้าจากญี่ปุ่น,trust_การรับรองจากหน่วยงานด้านอาหาร,trust_ข้อมูลเกี่ยวกับกระบวนการผลิต,trust_เห็นขั้นตอนของการเก็บเกี่ยววัตถุดิบ,report_flavor_Original,report_flavor_ต้มยำกุ้ง,report_flavor_Extra BBQ,report_flavor_หมึกย่างสาหร่าย,is_anomaly_iforest,is_anomaly_lof,is_anomaly_consensus,anomaly_score_iforest,anomaly_score_lof,cluster_kmeans,cluster_hier,pca_x,pca_y,persona
1,1,2,3,3,Low,8,6,0,4.0,1.0,3,1.0,other,believer_other,1.0,2,ชาย,4,4,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,-0.517204400397997,-1.3757534633728932,0,3,1.6824324216528035,0.3377798158057271,Partial Connect
2,1,1,1,4,Low,7,5,0,3.0,0.6666666666666666,2,1.0,brand_image,believer_brand_image,1.0,3,ชาย,5,5,4,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-0.4404602169928414,-1.0044458032416232,1,0,-0.059208782758410676,-0.8113014611980266,Aware but Lost
3,1,1,1,4,Low,8,7,0,3.0,0.6666666666666666,3,1.0,other,believer_other,1.0,3,ชาย,4,5,3,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.4237030999815799,-0.9784000193809422,1,0,0.9538636308556983,-1.3109442460451517,Aware but Lost
4,1,1,3,2,Low,5,5,0,4.0,0.3333333333333333,3,1.0,brand_image,believer_brand_image,0.0,3,หญิง,4,4,3,4,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.49343693818085704,-1.262079259008236,0,3,-0.015296786444316953,1.2245402432049262,Partial Connect
5,1,2,0,6,Low,6,4,0,4.0,0.0,2,1.0,skeptical,believer_skeptical,0.0,3,หญิง,3,5,2,5,2,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.45745065037420896,-1.0439868221777275,1,0,-0.8583078223773234,0.12780344014711226,Aware but Lost
6,1,1,1,4,Low,6,6,0,3.0,0.6666666666666666,3,0.0,skeptical,disbeliever_skeptical,1.0,2,หญิง,4,5,3,4,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,-0.41053549259406236,-1.0019052324763171,1,0,0.613252795618168,-0.6018039191213324,Aware but Lost
7,1,7,3,8,High,2,5,0,5.0,0.3333333333333333,3,0.0,skeptical,disbeliever_skeptical,1.0,2,หญิง,5,5,5,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-0.513379027727543,-1.132829963018135,0,3,0.9669465736114901,2.266330164209765,Partial Connect
8,1,0,0,4,Low,2,2,0,1.0,0.0,3,0.0,skeptical,disbeliever_skeptical,0.0,2,หญิง,5,5,4,5,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,-0.5013089763112536,-1.1450778594566562,2,1,-2.029300125950329,0.5316586809708044,Disconnected
9,1,2,3,3,Low,6,4,0,4.0,0.0,3,1.0,other,believer_other,1.0,2,หญิง,5,5,4,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.4862600760212159,-1.2314041491274403,0,3,0.4509752531557714,1.279741570300932,Partial Connect
10,1,7,3,8,High,8,8,0,1.0,0.3333333333333333,2,0.0,sensory,disbeliever_sensory,0.0,2,LGBTQ+,3,5,3,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.4840462971412358,-1.023558182721271,0,3,2.824561918871532,1.2177307899757295,Partial Connect
11,1,2,0,6,Low,5,5,0,3.0,0.6666666666666666,2,0.0,skeptical,disbeliever_skeptical,1.0,3,หญิง,4,5,4,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.41643436729819955,-0.97798383924612,1,0,-0.5766007850051387,-0.6034531663797971,Aware but Lost
