,brand_correct,brand_decoy_hit,brand_understanding,products_recognized_count,products_tried_count,tagline_known,tagline_rating,tagline_alignment,ebisen_familiarity,age,score_ingredient,score_taste,score_variety,score_texture,score_health
brand_correct,1.0,0.6680074076269829,0.8709618550001829,0.29163357030320136,0.3330793324847486,0.05852612337477937,0.18695402602129613,0.01695781735893146,0.16014848457484387,-0.350797954425043,0.03024975352595819,0.04650133568724951,0.03867561830198095,-0.09058468760912816,0.11277341863711014
brand_decoy_hit,0.6680074076269829,1.0,0.21616812374240854,0.1084565267200864,0.07753400378988648,0.0021080929773212337,0.09509243302225323,-0.0773325948070287,0.06772853127404782,-0.33054087374533564,-0.054448396355141815,-0.044059313208259274,0.036888861279792635,-0.07501832852115138,0.08664468778930154
brand_understanding,0.8709618550001829,0.21616812374240854,1.0,0.3110214475811118,0.3858172286978287,0.07539633058969139,0.18250237576001418,0.07331042133951764,0.16540043958198217,-0.2420092116196269,0.0756399079609824,0.09010282915278366,0.026386737302855963,-0.06931706438356244,0.0907527776145465
products_recognized_count,0.29163357030320136,0.1084565267200864,0.3110214475811118,1.0,0.6598848343697336,0.2671356365683901,0.0024463895872469245,0.1918708973371476,0.2467530911056353,-0.20210530716793162,-0.08130412335243822,0.24199224592055488,-0.013933004939835052,-0.07284839729113847,-0.030486751332469208
products_tried_count,0.3330793324847486,0.07753400378988648,0.3858172286978287,0.6598848343697336,1.0,0.2764506766792099,-0.10167356560003515,0.1383127883299194,0.17486136333890417,-0.2689011506841382,-0.05002886939958971,0.12279353056018727,0.08680712156097169,-0.02896329311657729,0.04928549280057915
tagline_known,0.05852612337477937,0.0021080929773212337,0.07539633058969139,0.2671356365683901,0.2764506766792099,1.0,0.09442149979984267,-0.0038015154435586517,0.10032813045139538,-0.029434501797538322,0.06382569176791028,-0.12634728879870125,-0.024102876029567257,-0.08875150434285739,0.08938882173242997
tagline_rating,0.18695402602129613,0.09509243302225323,0.18250237576001418,0.0024463895872469245,-0.10167356560003515,0.09442149979984267,1.0,0.06722492488560501,0.04810996149603449,-0.012842451268581481,0.27145469662656635,0.03734554006686505,0.13494491429334507,0.1906620159287933,0.19774341283773228
tagline_alignment,0.01695781735893146,-0.0773325948070287,0.07331042133951764,0.1918708973371476,0.1383127883299194,-0.0038015154435586517,0.06722492488560501,1.0,0.11075825140189477,-0.07702587039884363,-0.08865955667849926,-0.006069248418647801,0.033260766332190474,-0.12527430970501924,0.05279470480310071
ebisen_familiarity,0.16014848457484387,0.06772853127404782,0.16540043958198217,0.2467530911056353,0.17486136333890417,0.10032813045139538,0.04810996149603449,0.11075825140189477,1.0,-0.20928812524192095,0.12250659736572361,0.044700632128521794,0.061242232051325944,-0.006386876721888638,-0.07716200726396955
age,-0.350797954425043,-0.33054087374533564,-0.2420092116196269,-0.20210530716793162,-0.2689011506841382,-0.029434501797538322,-0.012842451268581481,-0.07702587039884363,-0.20928812524192095,1.0,0.21160474686573824,-0.017922011396709722,0.1005005196714086,0.13831995663182148,0.08237111159368479
score_ingredient,0.03024975352595819,-0.054448396355141815,0.0756399079609824,-0.08130412335243822,-0.05002886939958971,0.06382569176791028,0.27145469662656635,-0.08865955667849926,0.12250659736572361,0.21160474686573824,1.0,0.14944498189671762,0.31434966440354906,0.3609111996619136,0.28539000574158174
score_taste,0.04650133568724951,-0.044059313208259274,0.09010282915278366,0.24199224592055488,0.12279353056018727,-0.12634728879870125,0.03734554006686505,-0.006069248418647801,0.044700632128521794,-0.017922011396709722,0.14944498189671762,1.0,0.09795178798796995,0.36202471257500407,0.010794238473274827
score_variety,0.03867561830198095,0.036888861279792635,0.026386737302855963,-0.013933004939835052,0.08680712156097169,-0.024102876029567257,0.13494491429334507,0.033260766332190474,0.061242232051325944,0.1005005196714086,0.31434966440354906,0.09795178798796995,1.0,0.4009469144454564,0.3316076656148585
score_texture,-0.09058468760912816,-0.07501832852115138,-0.06931706438356244,-0.07284839729113847,-0.02896329311657729,-0.08875150434285739,0.1906620159287933,-0.12527430970501924,-0.006386876721888638,0.13831995663182148,0.3609111996619136,0.36202471257500407,0.4009469144454564,1.0,0.2546289180227446
score_health,0.11277341863711014,0.08664468778930154,0.0907527776145465,-0.030486751332469208,0.04928549280057915,0.08938882173242997,0.19774341283773228,0.05279470480310071,-0.07716200726396955,0.08237111159368479,0.28539000574158174,0.010794238473274827,0.3316076656148585,0.2546289180227446,1.0
